stop_id,name,lat,lng,collected_at,ars_no,city_code,city_name,managing_city
BSB192750501,이원솔루텍,35.14905192,128.8302909,2025-10-31,12332,21,부산광역시,부산BIS
BSB192750502,이원솔루텍,35.14906434,128.830368,2025-10-31,,21,부산광역시,부산BIS
BSB192760201,자동차부품복지관,35.14640344,128.8303742,2025-10-31,12464,21,부산광역시,부산BIS
BSB192770101,자동차부품복지관,35.14625607,128.8305848,2025-10-31,12463,21,부산광역시,부산BIS
BSB192770201,테크노파크입구,35.14453237,128.8285055,2025-10-31,12462,21,부산광역시,부산BIS
BSB192770202,자동차부품복지관,35.14588086,128.8299181,2025-10-31,,21,부산광역시,부산BIS
BSB192770203,테크노파크입구,35.14448365,128.8284495,2025-10-31,,21,부산광역시,부산BIS
BSB192780101,자동차부품복지관,35.14575675,128.8300799,2025-10-31,,21,부산광역시,부산BIS
BSB192790101,테크노파크입구,35.14435878,128.8286607,2025-10-31,12461,21,부산광역시,부산BIS
BSB192790102,테크노파크입구,35.14395969,128.8282348,2025-10-31,,21,부산광역시,부산BIS
BSB165850202,스파쇼핑,35.21826649,129.0835459,2025-10-31,,21,부산광역시,부산BIS
BSB165850401,온천장,35.21907751,129.0819488,2025-10-31,6010,21,부산광역시,부산BIS
BSB165850402,(구)온천극장,35.21902768,129.0820251,2025-10-31,,21,부산광역시,부산BIS
BSB165860101,금강원입구,35.22024676,129.0804751,2025-10-31,6005,21,부산광역시,부산BIS
BSB165860102,온천시장,35.22133276,129.0808718,2025-10-31,6004,21,부산광역시,부산BIS
BSB165860301,금강원입구,35.21797624,129.079031,2025-10-31,6008,21,부산광역시,부산BIS
BSB165860302,금강공원입구,35.21834467,129.0792577,2025-10-31,,21,부산광역시,부산BIS
BSB165870101,국제파크아파트,35.20515312,129.0999494,2025-10-31,,21,부산광역시,부산BIS
BSB165870102,조양아파트,35.20601982,129.1006544,2025-10-31,,21,부산광역시,부산BIS
BSB165870103,화목아파트,35.20366846,129.0987979,2025-10-31,,21,부산광역시,부산BIS
BSB165870301,화목아파트,35.20340187,129.0983576,2025-10-31,,21,부산광역시,부산BIS
BSB165880301,충렬사후문,35.20109091,129.0975142,2025-10-31,,21,부산광역시,부산BIS
BSB165900201,서원시장,35.20036771,129.1002812,2025-10-31,6193,21,부산광역시,부산BIS
BSB165900202,삼성아파트,35.19974339,129.1029464,2025-10-31,6191,21,부산광역시,부산BIS
BSB165900203,1080안경점,35.20023131,129.1008703,2025-10-31,,21,부산광역시,부산BIS
BSB165900204,삼성아파트,35.19976127,129.1028675,2025-10-31,,21,부산광역시,부산BIS
BSB165900401,서원시장,35.200891,129.0990222,2025-10-31,,21,부산광역시,부산BIS
BSB165920401,안락경동아파트,35.19232381,129.1053983,2025-10-31,6171,21,부산광역시,부산BIS
BSB165920402,동부산아이존빌아파트,35.19248234,129.1050616,2025-10-31,,21,부산광역시,부산BIS
BSB165920403,안락경동아파트,35.19189373,129.1061334,2025-10-31,,21,부산광역시,부산BIS
BSB165920501,안남초등학교,35.19198315,129.1076063,2025-10-31,6227,21,부산광역시,부산BIS
BSB165920502,안남초등학교,35.1918176,129.1075223,2025-10-31,,21,부산광역시,부산BIS
BSB165940101,우장춘기념관,35.21264379,129.0716091,2025-10-31,,21,부산광역시,부산BIS
BSB165940201,우장춘기념관,35.2124688,129.072522,2025-10-31,6053,21,부산광역시,부산BIS
BSB165940202,우장춘기념관,35.21231883,129.0719455,2025-10-31,,21,부산광역시,부산BIS
BSB165940301,온샘초등학교,35.20963817,129.0701688,2025-10-31,6060,21,부산광역시,부산BIS
BSB165940401,대동아파트,35.21148973,129.0666812,2025-10-31,,21,부산광역시,부산BIS
BSB165940402,래미안101동,35.21218214,129.0686859,2025-10-31,,21,부산광역시,부산BIS
BSB165940403,래미안104동,35.21213452,129.0702929,2025-10-31,,21,부산광역시,부산BIS
